goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2018
cpu: Intel(R) Xeon(R) CPU @ 2.60GHz
BenchmarkDay07Part1-16    	   10000	    105578 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   11409	    102739 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    103641 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    105327 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    103185 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    106549 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    105536 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    109476 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    105287 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part1-16    	   10000	    104440 ns/op	   24496 B/op	     354 allocs/op
BenchmarkDay07Part2-16    	    1032	   1127949 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1058	   1133251 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1034	   1153431 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1053	   1142339 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1050	   1132440 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1065	   1142327 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1065	   1127410 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1066	   1122504 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1002	   1124478 ns/op	   23408 B/op	     279 allocs/op
BenchmarkDay07Part2-16    	    1076	   1118486 ns/op	   23408 B/op	     279 allocs/op
PASS
ok  	gitlab.com/jhinrichsen/adventofcode2018	24.767s
